height,weight
70.49366,129.384
65.23482,104.5786
67.59619,131.7669
68.51919,135.0276
67.076,118.4065
66.8559,106.8363
69.52859,109.7608
73.32067,131.1796
71.99579,120.0237
69.5779,145.1589
67.8804,122.2327
68.08728,111.6015
63.6884,107.0641
69.53558,118.5909
62.62398,113.6392
67.24006,129.7754
69.0893,137.7905
65.76724,100.2388
68.0996,134.1465
66.202,116.2268
65.95635,107.8398
70.06314,139.3579
67.9872,121.1185
67.80701,131.3478
70.38311,159.9758
68.06755,112.9757
66.61529,120.9979
66.985,111.2501
68.68065,113.9339
68.3495,127.3052
67.75988,140.1278
69.72804,141.9129
66.02949,108.5156
64.90194,123.585
67.5987,120.4145
70.1376,150.2085
68.32838,125.0752
67.32069,128.9596
67.93682,113.7462
69.3643,115.9751
67.84056,112.9479
69.76109,143.2576
65.97607,136.9425
66.69993,127.0516
68.14952,119.4716
66.3421,120.0586
68.10575,121.9841
66.60452,129.8988
68.18873,127.1719
64.92037,107.1751
68.24432,112.2308
66.70636,133.6125
65.74458,118.6861
68.53037,127.7893
68.20539,116.9375
70.39798,119.4655
69.79829,126.6311
65.01832,115.0837
70.13374,131.169
68.76169,132.1914
68.65082,122.8115
69.36148,118.6402
66.61356,115.4581
71.06812,136.7636
68.26736,129.9806
67.88412,131.1011
69.70884,135.1988
70.13299,125.7628
64.08148,119.2167
68.62782,115.5711
67.2625,129.1298
65.09077,111.4222
67.33457,110.3688
67.50241,129.6194
68.79866,113.9144
66.12316,131.3628
69.22334,147.1708
67.3835,146.1098
68.15534,119.4984
68.85235,130.6387
69.29679,137.3539
70.09673,141.5957
66.21688,118.3435
67.32259,111.9082
66.39979,114.3961
68.14008,128.6282
68.9858,133.0763
64.61603,113.1176
67.59159,134.3476
67.66008,144.2397
67.0862,115.6875
67.1994,125.7923
66.23707,119.442
70.00383,138.3081
69.52902,123.5902
65.33382,129.7622
65.67362,133.5732
68.14304,104.2278
70.02962,134.5618
67.03314,100.0056
70.38299,131.0126
68.21868,135.9646
67.51121,115.6791
67.9537,126.585
67.27659,102.4448
66.50286,137.7408
68.55692,119.8364
69.1349,133.9896
68.38333,120.7131
68.98651,128.5798
67.6327,121.2978
69.137,123.3187
70.84883,125.1626
69.51645,140.1555
68.36341,116.9069
67.98947,116.3439
66.70355,122.2617
67.11208,124.9627
67.27509,123.7572
65.93383,132.1972
68.2623,127.3359
66.03415,136.0093
66.40429,130.1516
67.05552,136.2774
68.28918,135.4869
67.69388,115.6799
65.07971,133.4616
67.90838,136.5008
68.77267,126.5212
65.91428,121.6722
73.26872,130.2636
67.25836,113.6762
67.55476,138.0942
66.63689,128.8981
70.46449,121.1387
68.38613,140.6401
67.4203,122.0798
71.5009,148.2703
67.08079,125.6528
65.78148,107.3133
66.34128,128.7754
71.64258,154.3787
66.22516,101.8528
68.8736,135.5056
66.51348,127.1042
65.84079,119.5386
70.47312,126.8411
71.32591,132.3678
68.09486,128.0449
69.76777,137.657
69.6794,140.4675
69.04845,144.0225
64.22026,127.7241
70.0064,133.8839
67.19227,115.3758
70.02533,139.9395
69.08046,138.2492
66.64692,120.2193
63.36047,101.3858
69.26124,130.3283
65.51072,115.8503
68.7151,125.9951
64.72033,119.4164
67.235,122.7841
69.5217,126.8198
67.36318,131.4997
64.1913,123.1259
66.92149,109.5993
66.52176,114.8809
69.5192,131.5346
69.48224,135.7121
70.70642,148.5372
69.24498,131.2336
68.95044,125.9445
69.25373,142.7731
70.47954,134.4949
66.1487,120.3851
66.28781,128.8133
68.2452,128.5214
69.87287,126.1665
65.2308,116.3007
69.56807,131.7272
66.99756,122.3414
69.13583,118.2087
70.95408,136.2602
67.54727,127.846
69.72084,129.8715
69.18392,125.2414
68.61516,135.9551
67.44093,132.8781
66.77663,128.4905
69.42068,131.768
65.59897,111.5773
67.39488,108.6014
69.47786,129.6483
67.67519,134.1054
68.5612,133.2161
69.6254,131.1821
68.28689,135.0333
68.94276,135.2118
65.11113,139.1882
69.08438,127.0724
69.35197,123.6344
